epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5315.36,0.5595,0.44329,1.08135,0.78251,0.76667,0.80667,0.60448,0.96196,1.02004,1.58713,5.25728e-05,5.25728e-05,5.25728e-05
75,5385.55,0.56018,0.45047,1.09001,0.79093,0.76856,0.80092,0.59897,0.95922,1.00993,1.57809,5.15366e-05,5.15366e-05,5.15366e-05
76,5455.99,0.5495,0.43233,1.07444,0.78377,0.75441,0.79687,0.59725,0.97091,1.02045,1.60846,5.05e-05,5.05e-05,5.05e-05
77,5526.21,0.55378,0.44487,1.0798,0.76862,0.77119,0.79834,0.59904,0.97521,1.01072,1.61406,4.94634e-05,4.94634e-05,4.94634e-05
78,5597.15,0.55175,0.4346,1.0795,0.76741,0.77083,0.79844,0.60022,0.96414,1.02331,1.58539,4.84272e-05,4.84272e-05,4.84272e-05
79,5668.42,0.54406,0.43025,1.07538,0.79793,0.75995,0.80186,0.60073,0.95828,1.04191,1.58453,4.73919e-05,4.73919e-05,4.73919e-05
80,5739.08,0.53095,0.41475,1.06032,0.75823,0.77107,0.79897,0.59425,0.97398,1.04926,1.61501,4.63579e-05,4.63579e-05,4.63579e-05
81,5810.66,0.53457,0.41289,1.06672,0.7817,0.75576,0.80178,0.59496,0.96712,1.02507,1.6064,4.53258e-05,4.53258e-05,4.53258e-05
82,5881.56,0.53494,0.42181,1.06515,0.76649,0.76767,0.79794,0.59382,0.97426,1.03641,1.62045,4.4296e-05,4.4296e-05,4.4296e-05
83,5953.12,0.51803,0.41322,1.05808,0.79095,0.75284,0.80302,0.60308,0.95924,1.01991,1.60369,4.32689e-05,4.32689e-05,4.32689e-05
84,6024.52,0.52597,0.41696,1.06075,0.80684,0.74967,0.80672,0.60449,0.96455,1.00506,1.6138,4.22449e-05,4.22449e-05,4.22449e-05
85,6095.39,0.51303,0.40032,1.05056,0.76773,0.77777,0.80241,0.60394,0.96094,1.03465,1.61492,4.12246e-05,4.12246e-05,4.12246e-05
86,6167.31,0.51738,0.41037,1.05535,0.78284,0.75583,0.80411,0.60379,0.9678,1.03049,1.62872,4.02084e-05,4.02084e-05,4.02084e-05
87,6238.4,0.50976,0.40306,1.04959,0.8103,0.752,0.8074,0.60477,0.97023,1.04748,1.6384,3.91966e-05,3.91966e-05,3.91966e-05
88,6309.44,0.50517,0.39459,1.04998,0.7872,0.75848,0.8116,0.60478,0.96309,1.02418,1.62073,3.81899e-05,3.81899e-05,3.81899e-05
89,6380.1,0.50401,0.395,1.04712,0.78949,0.75677,0.80285,0.60254,0.97182,1.02978,1.62835,3.71885e-05,3.71885e-05,3.71885e-05
90,6451.21,0.50087,0.38588,1.0427,0.77711,0.77688,0.80096,0.59759,0.96759,1.05265,1.62565,3.61929e-05,3.61929e-05,3.61929e-05
91,6521.86,0.50704,0.39473,1.04605,0.79221,0.76039,0.80365,0.60003,0.96503,1.02016,1.62944,3.52037e-05,3.52037e-05,3.52037e-05
92,6592.3,0.49767,0.38613,1.04526,0.80272,0.75598,0.80709,0.60966,0.9602,1.02886,1.6211,3.42211e-05,3.42211e-05,3.42211e-05
93,6662.42,0.49962,0.38592,1.04455,0.8098,0.76428,0.80842,0.60902,0.96367,1.03083,1.62067,3.32457e-05,3.32457e-05,3.32457e-05
94,6732.79,0.49372,0.38582,1.04311,0.80859,0.74925,0.80449,0.60607,0.96773,1.04778,1.63869,3.22778e-05,3.22778e-05,3.22778e-05
95,6803.41,0.49028,0.37176,1.03676,0.78667,0.76811,0.80682,0.60392,0.97182,1.0515,1.64479,3.1318e-05,3.1318e-05,3.1318e-05
96,6873.62,0.48819,0.38052,1.03499,0.77224,0.77255,0.80589,0.60259,0.97136,1.05777,1.65092,3.03665e-05,3.03665e-05,3.03665e-05
97,6943.5,0.48537,0.37891,1.03297,0.78876,0.75627,0.80687,0.60477,0.96767,1.05299,1.63869,2.94239e-05,2.94239e-05,2.94239e-05
98,7014.63,0.4787,0.37413,1.02656,0.77042,0.76963,0.80097,0.60004,0.97573,1.06687,1.64945,2.84906e-05,2.84906e-05,2.84906e-05
99,7084.87,0.48208,0.36964,1.02602,0.80444,0.75291,0.80548,0.60658,0.96679,1.05791,1.64595,2.75668e-05,2.75668e-05,2.75668e-05
100,7155.23,0.47731,0.36502,1.02351,0.79033,0.76371,0.80328,0.60688,0.96669,1.05738,1.63743,2.66532e-05,2.66532e-05,2.66532e-05
101,7225.87,0.46235,0.3558,1.01803,0.8055,0.75149,0.80237,0.60718,0.96368,1.05055,1.64602,2.575e-05,2.575e-05,2.575e-05
102,7296.9,0.46868,0.36425,1.02276,0.78601,0.76398,0.80516,0.60346,0.97062,1.06444,1.65013,2.48577e-05,2.48577e-05,2.48577e-05
103,7366.88,0.46499,0.35845,1.0178,0.77781,0.76599,0.80251,0.60186,0.96354,1.06503,1.64959,2.39766e-05,2.39766e-05,2.39766e-05
104,7437.43,0.47049,0.36371,1.02183,0.77692,0.76181,0.80109,0.59941,0.96854,1.07609,1.64928,2.31071e-05,2.31071e-05,2.31071e-05
105,7507.51,0.46515,0.36181,1.01597,0.75925,0.78235,0.80357,0.60211,0.96902,1.07982,1.65644,2.22497e-05,2.22497e-05,2.22497e-05
106,7578.02,0.46999,0.36363,1.02195,0.77373,0.77569,0.80637,0.60446,0.96784,1.06934,1.65484,2.14046e-05,2.14046e-05,2.14046e-05
107,7648.19,0.46478,0.35747,1.01856,0.78065,0.77765,0.80857,0.604,0.96874,1.07443,1.66389,2.05723e-05,2.05723e-05,2.05723e-05
108,7719.06,0.45765,0.35636,1.01567,0.79873,0.76222,0.80528,0.59981,0.96524,1.07091,1.66575,1.97532e-05,1.97532e-05,1.97532e-05
109,7790.11,0.45845,0.35603,1.01465,0.77862,0.7715,0.80241,0.60018,0.96494,1.06584,1.66353,1.89475e-05,1.89475e-05,1.89475e-05
110,7860.74,0.45408,0.35462,1.01092,0.80491,0.74548,0.79633,0.59726,0.96574,1.06961,1.66306,1.81557e-05,1.81557e-05,1.81557e-05
111,7931.45,0.44997,0.34538,1.00706,0.7874,0.76313,0.80117,0.60007,0.96743,1.07874,1.66443,1.7378e-05,1.7378e-05,1.7378e-05
112,8002.45,0.45465,0.34754,1.01016,0.80944,0.74842,0.80436,0.60202,0.96718,1.08276,1.66561,1.66149e-05,1.66149e-05,1.66149e-05
113,8073.47,0.45182,0.3459,1.01073,0.78561,0.76387,0.80549,0.60321,0.96615,1.07235,1.66865,1.58667e-05,1.58667e-05,1.58667e-05
114,8144.13,0.45045,0.34344,1.00774,0.76941,0.78492,0.80521,0.60355,0.96584,1.072,1.66347,1.51336e-05,1.51336e-05,1.51336e-05
115,8215.22,0.44796,0.34861,1.00471,0.77841,0.77845,0.8036,0.60434,0.96788,1.07544,1.66531,1.44161e-05,1.44161e-05,1.44161e-05
116,8285.46,0.44458,0.34004,1.00542,0.7827,0.77332,0.80427,0.60187,0.96774,1.08032,1.67043,1.37143e-05,1.37143e-05,1.37143e-05
117,8356.27,0.44184,0.33851,1.00936,0.7876,0.76956,0.80307,0.60226,0.9661,1.08245,1.66955,1.30287e-05,1.30287e-05,1.30287e-05
